Code région;Nom de la région;Code département;Code arrondissement;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale
84;Auvergne-Rhône-Alpes;1;2;8;1;L' Abergement-Clémenciat;767;18;785
84;Auvergne-Rhône-Alpes;1;1;1;2;L' Abergement-de-Varey;243;1;244
84;Auvergne-Rhône-Alpes;1;1;1;4;Ambérieu-en-Bugey;14 081;437;14 518
84;Auvergne-Rhône-Alpes;1;2;22;5;Ambérieux-en-Dombes;1 671;34;1 705
84;Auvergne-Rhône-Alpes;1;1;4;6;Ambléon;110;6;116
84;Auvergne-Rhône-Alpes;1;1;1;7;Ambronay;2 684;104;2 788
84;Auvergne-Rhône-Alpes;1;1;1;8;Ambutrix;750;13;763
84;Auvergne-Rhône-Alpes;1;1;4;9;Andert-et-Condon;336;8;344
84;Auvergne-Rhône-Alpes;1;1;10;10;Anglefort;1 124;18;1 142
84;Auvergne-Rhône-Alpes;1;4;14;11;Apremont;383;11;394
84;Auvergne-Rhône-Alpes;1;1;10;12;Aranc;326;4;330
84;Auvergne-Rhône-Alpes;1;1;1;13;Arandas;148;3;151
84;Auvergne-Rhône-Alpes;1;4;15;14;Arbent;3 379;91;3 470
84;Auvergne-Rhône-Alpes;1;2;17;16;Arbigny;462;4;466
84;Auvergne-Rhône-Alpes;1;1;4;15;Arboys en Bugey;640;16;656
84;Auvergne-Rhône-Alpes;1;1;1;17;Argis;438;14;452
84;Auvergne-Rhône-Alpes;1;1;10;19;Armix;26;0;26
84;Auvergne-Rhône-Alpes;1;2;22;21;Ars-sur-Formans;1 389;29;1 418
84;Auvergne-Rhône-Alpes;1;1;10;22;Artemare;1 227;21;1 248
84;Auvergne-Rhône-Alpes;1;2;17;23;Asnières-sur-Saône;63;3;66
84;Auvergne-Rhône-Alpes;1;2;2;24;Attignat;3 270;66;3 336
84;Auvergne-Rhône-Alpes;1;2;17;25;Bâgé-Dommartin;4 088;103;4 191
84;Auvergne-Rhône-Alpes;1;2;17;26;Bâgé-le-Châtel;915;56;971
